product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
Farmers Union Greek Yoghurt Pouch Vanilla ,130,Yoghurt,2D,Australia,Coles,4.0,384.0,4.6,2.9,1.9,11.6,11.1,50.0,0.0,"Milk, Milk Solids, Water, Sugar, Cream (Milk), Thickener (Modified Starch), Natural Flavour, Acidity Regulators (Citric Acid, Sodium Citrate), Probiotic Cultures (Milk): B. lactis (BB-12), Yoghurt Cultures (Milk): S. Thermophilus, L. Bulgaricus, Vanilla Bean (0.01%), Natural Colour (Carotene)",29/10/25,Milk,,91.77820267686424
Woolworths Full Cream Long Life Milk UHT ,1000,Milk,1D,Australia,Woolsworth,4.0,264.0,3.3,3.4,2.6,4.8,4.8,40.0,0.0,Ultra Heat Treated Homogenised Full Cream Milk.,29/10/25,Milk,,63.09751434034417
Woolworths 12 Extra Large Free Range Eggs ,700,eggs,2,Australia,Woolsworth,4.0,596.0,12.2,9.9,3.3,1.3,1.0,136.0,0.0,,29/10/25,,,142.44741873804972
Casa Della Lucia's Beef Ravioli ,630,Food,2,Australia,Woolsworth,3.5,1160.0,14.4,5.7,2.3,39.9,2.7,595.0,4.0,"Durum Wheat Semolina (45%), Beef Mince (14%), Breadcrumbs (Wheat Flour, Salt, Yeast, Water), Water, Onion, Free Range Egg (5%), Carrot, Whey Powder (Milk), Canola Oil, Parmesan Cheese (Milk, Salt, Starter Cultures, Enzyme (Non-Animal Rennet), Tapioca Starch), Flavour (Salt, Hydrolysed Vegetable Protein, Herbs, Spices), Wheat Fibre, Salt, Garlic, Yeast Extract, Black Pepper, Nutmeg.",29/10/25,"Egg, Milk, Gluten, Wheat",,277.24665391969404
Smith's Potato Chips Lunchbox Snacks Multipack Salt & Vinegar 8 pack,152,Chips,2,Australia,Woolsworth,2.0,2230.0,6.5,33.0,2.3,49.9,3.0,795.0,2.7,"Potatoes (61%), Canola Oil and/or Sunflower Oil, Flavours, Maltodextrin, Lactose (Milk), Mineral Salt (Potassium Chloride), Food Acids (Sodium Diacetate, Citric Acid), Sugar, Salt, Flavour Enhancer (621), Dextrose, Whey Protein Concentrate (Milk), Soluble Fibre (Polydextrose), Antioxidants (Tocopherols, Ascorbic Acid, Rosemary Extract).",29/10/25,"Milk, Soy",,532.982791586998
Tasty Mix Chips Lunchbox Snacks Assorted Multipack 20 pack,368,chips,2,Australia,Woolsworth,2.0,2120.0,6.8,25.1,2.0,62.7,2.6,959.0,0.0,"Burger RingsCereals (Corn, Rice), Canola Oil, Maltodextrin, Rice Bran, Salt, Sugar, Hydrolysed Vegetable Protein (Soy), Flavour Enhancer (621), Food Acids (Sodium Diacetate, Citric Acid), Flavour, Mineral Salt (Potassium Chloride), Yeast Extracts, Onion Powder, Tomato Powder, Colours (102, 110, 155).TwistiesCereals (Corn, Rice), Canola Oil, Whey Powder (Milk), Maltodextrin, Cheese Powder (Barley, Milk), Salt, Flavour Enhancer (621), Hydrolysed Vegetable Protein, Yeast Extract, Mineral Salt (Potassium Chloride), Flavours, Natural Colours (Paprika Extract), Food Acid (Lactic Acid).CheetosCorn, Canola Oil, Whey Powder (Milk), Wheat Flour, Flavour Enhancer (621), Mineral Salt, Maltodextrin, Flavours, Natural Colours (Paprika Extract, Curcumin), Food Acid (Lactic Acid).DoritosCorn (70%), Canola Oil, Maltodextrin, Whey Powder (Milk), Salt, Dextrose, Sugar, Mineral Salt (Potassium Chloride), Cream Powder (Milk), Spices (Chilli, Black Pepper, Green Bell Pepper, Cumin), Tomato Powder, Vegetable Fat Powder (Milk, Soy), Flavours (Milk), Food Acids (Sodium Diacetate, Citric Acid, Lactic Acid), Onion Powder, Yeast Extract, Natural Colours (Paprika Extract, Annatto), Herb (Parsley), Sunflower Oil, Antioxidants (Tocopherols, Ascorbic Acid, Rosemary Extract).",29/10/25,"Milk, Gluten, Soy, Wheat",,506.69216061185466
Smarties Milk Chocolate 11 Mini Boxes Share Pack,127,chocolate,2,Australia,Woolsworth,0.5,1980.0,4.9,18.1,10.7,72.0,67.0,45.0,0.0,"Sugar, Milk Solids, Cocoa Butter^, Cocoa Mass^, Wheat Flour, Dried Glucose, Vegetable Fat Emulsifier ( Soy Lecithin), Rice Starch, Emulsifiers ( Soy Lecithin, 476), Colours (Carmine, Beta Carotene, Anthocyanin, Copper Chlorophyllin, Turmeric), Glazing Agents (903, 901), Spirulina Powder. Contains Milk, Soy, Wheat, Gluten. Product Contains 61% Milk Chocolate and 39% Crispy Shell. Milk Chocolate Contains Minimum 22% Cocoa Solids and Minimum 20% Milk Solids. ^ Rainforest Alliance Certified Cocoa. ",29/10/25,"Milk, Gluten, Soy, Wheat, Tree Nuts",,473.2313575525813
KitKat Milk Chocolate Mini Bars ,154,chocolate,2,Australia,Woolsworth,0.5,2160.0,6.6,26.7,14.9,61.6,50.7,78.0,0.0,"Sugar, Wheat Flour, Milk Solids, Cocoa Butter^, Vegetable Fats Emulsifier ( Soy Lecithin), Cocoa Mass^, Choc Paste ( Milk , Soy, Wheat ), Dried Glucose, Emulsifiers ( Soy Lecithin, 476), Cocoa^, Raising Agent (Sodium Bicarbonate), Salt, Yeast, Flavour, Processing Aid ( Wheat ). Contains Milk, Wheat, Gluten, Soy. May Contain Tree Nuts, Other Gluten Containing Ingredients. Product Contains 68% Milk Chocolate, 32% Wafer Fingers. Milk Chocolate Contains Minimum 22% Cocoa Solids and 20% Milk Solids.",29/10/25,"Milk, Gluten, Soy, Wheat",,516.2523900573614
Sakata Stars Rice Snack Mix Lunchbox Assorted Multipack 12 ,156,,2,Australia,Woolsworth,2.0,1200.0,5.4,8.9,2.2,82.5,8.5,471.0,0.5,,29/10/25,,,286.80688336520075
Woolworths Spring Water Bottles,600,Water,1,Australia,Woolsworth,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100% Natural Spring Water,29/10/25,,,0.0
Woolworths Sparkling Mineral Water ,1250,Water,1,Australia,Woolsworth,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,Carbonated Mineral Water,29/10/25,,,0.0
Woolworths Skim Long Life Milk UHT,1000,Milk,1D,Australia,Woolsworth,5.0,150.0,3.6,0.1,0.1,5.0,5.0,43.0,0.0,Ultra Heat Treated Homogenised Skim Milk,29/10/25,Milk,,35.85086042065009
Sanitarium So Good Barista Almond Long Life Milk,1000,Milk,1D,Australia,Woolsworth,4.0,164.0,0.8,2.6,0.2,2.8,1.6,39.0,0.5,"Filtered water, Australian ground almonds (3%), cane sugar, corn maltodextrin, vegetable oils (sunflower, canola), acidity regulator (potassium phosphate), mineral (calcium), emulsifier (322), salt, vegetable gums (410, 418), antioxidant (ascorbic acid), vitamins (B12, B2, B1).",29/10/25,"Almond, Tree Nuts",,39.19694072657744
Pepsi Max No Sugar Cola Soft Drink Bottle,1250,Soda,1,Australia,Woolsworth,3.5,1.6,0.06,0.0,0.0,0.06,0.0,13.0,0.0,"Carbonated Water, Colour (150d), Sweeteners (951, 950), Food Acids (338, 330), Preservative (211), Caffeine, Flavour.CONTAINS CAFFEINE. CONTAINS PHENYLALANINE.",29/10/25,,,0.3824091778202677
Woolworths Free From Lactose Lite Long Life Milk UHT,1000,Milk,1D,Australia,Woolsworth,5.0,190.0,3.4,1.3,1.0,4.9,4.9,43.0,1.0,"Ultra Heat Treated Homogenised Reduced Fat Milk, E nzyme (Lactase).",29/10/25,Milk,,45.41108986615679
Fanta Orange Soft Drink Mini Cans,250,Soda,1,Australia,Woolsworth,1.0,127.0,0.0,0.0,0.0,7.3,7.2,1.1,0.0,"Carbonated Water, Sugar, Orange Juice from Concentrate (2.1%), Food Acids (330, 329, 333), Flavour, Natural Colour (160a), Preservative (202), Sweeteners (950, 955), Antioxidant (300).",29/10/25,,,30.353728489483743
Sprite Zero Sugar Lemonade Soft Drink Mini ,250,Soda,1,Australia,Woolsworth,3.5,4.2,0.05,0.0,0.0,0.1,0.0,12.7,0.0,"Carbonated water, food acids (330, 331), flavour, sweeteners (951,950), preservatives (202, 211).",29/10/25,,,1.0038240917782026
Coca-Cola Classic Soft Drink Multipack Cans,375,Soda,1,Australia,Woolsworth,0.5,180.0,0.0,0.0,0.0,10.6,10.6,10.0,0.0,"Carbonated Water, Sugar, Colour (150d), Food Acid (338), Flavour, Caffeine.",29/10/25,,,43.02103250478012
Kirks Sugar Free Orange Soft Drink Multipack Cans,375,Soda,1,Australia,Woolsworth,3.5,4.1,0.0,0.0,0.0,0.01,0.0,8.2,0.0,,29/10/25,,,0.9799235181644358
Coca-Cola Vanilla Soft Drink Mini Cans ,250,Soda,1,Australia,Woolsworth,0.5,185.0,0.0,0.0,0.0,11.0,10.9,10.0,0.0,"Carbonated Water, Sugar, Colour (150d), Food Acid (338), Flavour, Caffeine.",29/10/25,,,44.21606118546845
Woolworths Apple Juice 2L,2000,Juice,1,Australia,Woolsworth,2.5,189.0,0.4,0.1,0.0,10.5,9.5,5.0,0.1,"Reconstituted Apple Juice (99.7%), Acidity Regulator (Citric Acid), Natural Flavour, Vitamin C.",29/10/25,,,45.17208413001912
Powerade ION4 Mountain Blast Sports Drink Sipper Cap,600,Soda,1,Australia,Woolsworth,1.5,104.0,0.0,0.0,0.0,5.8,5.8,29.0,0.0,"Water, Sucrose, Electrolytes (Magnesium Sulphate, Calcium Chloride, Potassium Citrate, Sodium Citrate, Sodium Chloride, Potassium Phosphate), Food Acid (330), Flavour, Colour (133).",29/10/25,,,24.8565965583174
Schweppes Lemonade Soft Drink Bottle ,1100,Soda,1,Australia,Woolsworth,1.0,143.0,0.0,0.0,0.0,8.2,8.2,6.0,0.0,"Carbonated Water, Sugar, Food Acids (330, 331), Natural Flavours (With Lime & Lemon Oils).",29/10/25,,,34.17782026768642
Gatorade Sports Drinks Blue Bolt Electrolyte Hydration Bottle ,600,Soda,1,Australia,Woolsworth,1.5,103.0,0.0,0.0,0.0,6.0,6.0,51.0,0.0,"Water, Sucrose, Glucose, Food Acids (330, 331), Monopotassium Phosphate, Sodium Chloride, Flavour, Colour (133).",29/10/25,,,24.61759082217973
Kirks Lemonade Soft Drink Bottle ,1250,Soda,1,Australia,Woolsworth,1.0,137.0,0.0,0.0,0.0,7.9,7.9,1.0,0.0,"Carbonated Water, Sugar, Food Acid (330), Flavour, Preservative (202), Sweeteners (955, 950).",29/10/25,,,32.74378585086042
Woolworths Apple & Blackcurrant Juice 2L,2000,Juice,1,Australia,Woolsworth,3.0,186.0,0.4,0.0,0.0,10.5,8.9,8.0,0.1,"Reconstituted Fruit Juices [Apple (94.8%), Blackcurrant (4.9%)], Acidity Regulator (Citric Acid), Natural Flavour, Vitamin C, Natural Colour (163).",29/10/25,,,44.45506692160612
Woolworths Orange Juice 2L,2000,Juice,1,Australia,Woolsworth,3.0,171.0,0.9,0.1,0.0,8.8,7.7,5.0,0.5,"Reconstituted Orange Juice (99.8%), Natural Flavour, Vitamin C, Acidity Regulator (Citric Acid).",29/10/25,,,40.86998087954111
Nestle Sweetened Condensed Milk,395,Milk,1D,Australia,Woolsworth,1.0,1360.0,7.5,8.0,5.0,55.0,55.0,100.0,0.0,"Milk , Sugar, Milk Solids",28/10/25,Milk,,325.0478011472275
Woolworths Evaporated Milk ,385,Milk,1D,Australia,Woolsworth,3.0,617.0,7.2,8.6,5.7,10.4,10.4,105.0,0.0,"Milk, Stabiliser (Potassium Citrate, 339, Carrageenan)",29/10/25,Milk,,147.46653919694072
Schweppes Lemonade Soft Drink Cans Multipack,375,Soda,1,Australia,Woolsworth,1.0,143.0,0.0,0.0,0.0,8.2,8.2,10.0,0.0,"Carbonated Water, Sugar, Food Acids (330, 331), Natural Flavours (With Lime & Lemon Oils).",29/10/25,,,34.17782026768642
Woolworths Lunch Box Poppers Apple 35% Fruit Drink,250,Juice,1,Australia,Woolsworth,1.0,167.0,0.0,0.0,0.0,9.8,9.5,5.0,0.0,,29/10/25,,,39.91395793499044
Nescafe Caramel Latte Coffee Sachets ,170,Coffee,1,Australia,Woolsworth,1.0,200.0,1.0,1.4,1.3,9.0,5.5,50.0,0.0,"Sugar, Glucose Syrup, Vegetable Oil, Soluble Coffee (10%), Milk Solids, Flavours, Stabilisers (340, 451, 331, 452), Emulsifiers (471, 472e), Salt Sucre, Sirop de Glucose, Huile Vegetale, Cafe Soluble (10%), Matieres Seches Du L Ai T, Aromes, S Tabilisateurs (340, 451, 331 ,452), emulsifiants (471 ,472e), Sel. Sachet: Contains Milk Carton: Contains Milk Carton: Contient Du Lait.",29/10/25,Milk,,47.801147227533455
Powerade Isotonic Mountain Blast Powder,500,Drink,1,Australia,Woolsworth,1.5,99.0,0.0,0.0,0.0,5.6,5.6,47.0,0.0,"Sugar (Sucrose, Dextrose), Food Acid (330), Sodium Citrate, Potassium Phosphate, Flavour, Sodium Chloride, Colour (133)",29/10/25,,,23.66156787762906
Nestle Carnation Creamy Evaporated Milk,340,Milk,1D,Australia,Woolsworth,3.0,595.0,6.5,8.0,5.0,11.0,11.0,125.0,0.0,"Milk, Milk Solids, Vegetable Gum (Carrageenan). Co,ntains Milk",29/10/25,Milk,,142.20841300191205
Woolworths Baby Leaf Spinach ,,Vegetables,2,Australia,Woolsworth,5.0,68.0,2.8,1.0,1.0,1.0,1.0,90.0,2.5,Spinach,29/10/25,,,16.252390057361374
Woolworths Caesar Salad Kit,,Vegetables,2,Australia,Woolsworth,5.0,556.0,4.5,9.8,2.4,5.9,2.4,357.0,2.0,"Cos Lettuce (63%), Caesar Dressing (20%) (Water, C anola Oil, Concentrated Lemon Juice, Sugar, Vinega r, Egg Powder, Salt, Dijon Mustard (Water, Mustard Seed, Salt, Sugar, Acidity Regulator (Acetic Acid ), Spices), Fish Sauce (Anchovy Extract (Fish)), G arlic Puree, Parmesan Cheese (Milk, Starter Cultur e, Non Animal Rennet, Salt, Stabiliser (Xanthan Gu m)), Pepper), Parmesan Cheese (6%) (Milk, Salt, St arter Culture, Enzyme (Non Animal Rennet, Lipases) ), Croutons (5%) (Wheat Flour (Vitamin B1, Folic A cid), Canola Oil, Salt, Yeast, Wheat (Gluten, Pota ssium Iodate), Water, Cheese Powder (Milk, Salt, S tarter Culture, Enzymes, Acidity Regulator (Citric Acid)), Whey Powder (Milk), Garlic Powder, Herbs and Spices, Sugar, Bread Improver (Acidity,Regulat or (Ascorbic Acid), Enzyme (1100)), Raising Agent (920), Yeast Extract, Anticaking Agent (551), Natu ral Flavour (Milk)), Bacon (3%) (Pork",29/10/25,"Egg, Fish, Milk, Gluten, Wheat",,132.887189292543
Woolworths Crunchy Noodle Coleslaw Kit,520,Vegetables,2,Australia,Woolsworth,4.0,380.0,1.7,4.6,1.0,9.6,5.8,169.0,2.2,"Cabbage (49%), Carrot (14%), Asian Style Soy Dressing (13%) (Water, Sugar, Canola Oil (Antioxidant (307)), Vinegar, Tomato Paste, Soy Sauce (Water, Soybean, Wheat, Salt), Egg Yolk, Thickener (1442, Xanthan Gum), Milk Solids, Salt, Mineral Salt (Potassium Chloride), Natural Flavours (Garlic, Onion), Spices, Spice Extract, Herbs), Celery, Crispy Fried Noodles (6%) (Wheat Flour, Vegetable Oil (Sunflower Oil, Canola Oil, Antioxidant (307b)), Salt, Raising Agents (450, Sodium Carbonate), Water, Colour (Annatto Extracts)), Spring Onions (4%), Onion (1%), Ingredients and Percentages may vary due to seasonal and processing variability",29/10/25,"Egg, Fish, Milk, Gluten, Wheat",,90.82217973231356
Woolworths Thickened Cream ,600,Cream,2D,Australia,Woolsworth,0.5,1400.0,2.4,35.4,24.1,3.0,3.0,25.0,0.0,,29/10/25,Milk,,334.6080305927342
Woolworths Sour Cream 300mL,300,Cream,2D,Australia,Woolsworth,0.5,1400.0,1.9,36.0,24.0,2.2,2.2,24.0,0.0,"Cream (Milk), Starter Culture (Milk).",29/10/25,Milk,,334.6080305927342
Woolworths Natural Greek Style Yoghurt ,1000,Yoghurt,2D,Australia,Woolsworth,3.0,489.0,5.0,7.6,5.3,7.2,5.5,57.0,1.0,"Pasteurised Milk and Cream (Milk), Skim Milk Powde r, Live Cultures (Milk) (including S. thermophilus , L. acidophilus, Bifidobacterium, L. casei).",29/10/25,Milk,,116.8738049713193
Hillview Tasty Shredded Cheese ,700,Cheese,3D,Australia,Woolsworth,2.5,1650.0,23.2,33.8,22.4,1.0,1.0,684.0,0.0,"Tasty Cheese (98%) (Pasteurised Milk, Salt, Starte r Culture (Milk), Non Animal Rennet), Anticaking A gent (Cellulose), Preservative (Sorbic Acid).",29/10/25,Milk,,394.3594646271511
Woolworths Greek Style Fetta,200,Cheese,3D,Australia,Woolsworth,1.0,1340.0,19.9,26.8,18.7,1.0,1.0,1550.0,0.0,"Pasteurised Cow's Milk, Salt, Mineral Salt (509),,Non Animal Rennet, Starter Cultures (Milk)",29/10/25,Milk,,320.26768642447416
Woolworths Tasty Cheese Slices 500g,500,Cheese,3D,Australia,Woolsworth,2.5,1650.0,25.5,32.7,21.8,0.5,0.5,652.0,0.0,"Pasteurised Milk, Salt, Starter Culture (Milk), Non Animal Rennet",29/10/25,Milk,,394.3594646271511
Woolworths Light Sour Cream 300mL,300,cream,2D,Australia,Woolsworth,0.5,763.0,2.6,18.0,11.7,3.1,2.9,33.0,0.0,"Skim Milk, Cream (Milk), Starter Culture (Milk).",29/10/25,Milk,,182.36137667304016
Woolworths Shredded Parmesan Cheese ,250,Cheese,3D,Australia,Woolsworth,2.5,1550.0,32.0,27.1,18.8,0.5,0.5,1010.0,0.0,"Parmesan Cheese (97%) (Pasteurised Milk, Salt, Sta ,rter Culture (Milk), Enzymes (Rennet, Animal Deri v,ed Lipase)), Anti Caking Agent (Cellulose), Pres er,vative (Sorbic Acid)",29/10/25,Milk,,370.4588910133843
Woolworths 12 Extra Large Free Range Eggs,700,eggs,2,Australia,Woolsworth,4.0,596.0,12.2,9.9,3.3,1.3,1.0,136.0,0.0,,29/10/25,,,142.44741873804972
Essentials Salted Butter 250g,250,Butter,3,Australia,Woolsworth,0.5,3050.0,1.0,82.1,53.1,1.0,1.0,550.0,0.0,"cream (milk) water, salt",29/10/25,Milk,,728.9674952198852
Woolworths Spread Olive Oil 500g,500,Oil,3,Australia,Woolsworth,3.0,2400.0,1.0,64.8,17.1,1.0,1.0,350.0,0.0,"Vegetable Oil (Canola Oil, Olive Oil (19%), Fully Hydrogenated Vegetable Oil), Water, Salt, Milk Sol ids, Emulsifier (471, Lecithin (Soy)), Preservativ e (Potassium Sorbate), Acidity Regulator (Lactic A cid), Natural Colours (Annatto Extracts, Curcumin) , Vitamins (Vitamin A, Vitamin D), Natural Flavour .",29/10/25,"Milk, Soy",,573.6137667304015
Macro Organic Salted Butter 250g,250,butter,3,Australia,Woolsworth,0.5,3000.0,1.0,80.4,53.0,1.0,1.0,557.0,0.0,"Organic Cream (Milk), Salt, This Product contains 80% Milk Fat",29/10/25,Milk,,717.0172084130019
Flora Margarine Spread Buttery 500g,500,butter,3,Australia,Woolsworth,3.0,2360.0,1.0,63.4,15.9,1.0,1.0,355.0,0.0,"Vegetable oils (63%) (containing 53% Sunflower and Canola oils), water, buttermilk (milk) (8%), salt, emulsifiers (471, soy lecithin), preservative (202), food acid (lactic acid), natural flavours, vitamins (A, D), natural colour (beta-carotene).",29/10/25,"Milk, Soy",,564.0535372848948
Latina Fresh Lasagne Sheets Sheets ,375,Pasta,2,Australia,Woolsworth,4.5,1230.0,11.8,4.4,0.8,49.5,0.9,17.0,3.0,"Durum Wheat Semolina (73%), Water, Egg (10%), Canola Oil, Food Acid (Lactic Acid). Lasagne Sheets.",29/10/25,"Egg, Gluten, Wheat",,293.97705544933075
Weet-Bix – Sanitarium,1200,cereals,2,Australia,Woolsworth,5.0,1480.0,12.0,1.4,0.3,67.0,2.8,270.0,10.1,"Wholegrain wheat(97%), raw sugar, salt, barley malt extract, vitamins (niacin, thiamin, riboflavin, folate), mineral (iron)",29/10/25,"Gluten, lupin",,353.7284894837476
Corn Thins Original – Real Foods,150,cereals,2,Australia,"Coles, Woolsworth",4.5,1600.0,10.2,3.4,0.5,70.9,0.4,259.0,7.3,"MAIZE (98%), SUNFLOWER OIL, SEA SALT",29/10/25,"Sesame, soy",,382.4091778202677
Jatz original – Arnotts,225,cereals,2,Australia,"Coles, Woolsworth",2.0,1950.0,7.6,18.3,3.9,66.0,6.0,490.0,3.2,"wheat flour,vegetable oil, sugar, salt, malt extract (from barley), baking powder, yeast, antioxidants (e307b from soy, e304), emulsifier (soy lecithin) ",29/10/25,"Gluten, Soybeans , eggs, Milk, Nuts, Peanuts, Sesame seeds",,466.0611854684512
 Lait Demi-écrémé – BON ET BIO ,1000,Milk,1D,Australia,"Coles, Woolsworth",4.5,192.0,3.2,1.6,1.0,4.8,4.8,120.0,0.0,,29/10/25,Milk,,45.88910133843212
 100% jus de pomme – FRUIMA,"1000,33",Juice,1,Australia,"Aldi, Woolsworth",4.5,188.0,0.5,0.5,0.1,11.0,10.0,10.0,0.0,Apple,29/10/25,,,44.93307839388145
Lait entier Aldi,1000,Milk,1D,Australia,Aldi,4.5,271.0,3.3,3.6,2.2,4.8,4.8,250.0,0.0,,29/10/25,Milk,,64.77055449330784
Purée de tomate au baslic – Mutti,700,Processed vegetables,2,Australia," Casino, Magasins U, Woolworths, Coles",4.5,151.0,1.6,0.1,0.1,5.1,4.5,500.0,0.0,"Tomate 99 %, sel, basilic 0,1 %, extrait de basilic. ",29/10/25,,,36.08986615678776
Sirop de citron – Fruima,750,Juice,1,France,"Aldi, Woolsworth",4.5,1142.0,0.5,0.5,0.1,68.0,66.0,10.0,0.0,"Sucre, sirop de glucose fructose, jus de citron à base de concentré 24% eau, acidifiant: acide citrique, arômes naturels de citrons, stabilisant : esters glycériques de résine de bois. ",29/10/25,,,272.944550669216
Céleri rémoulade – Déli'Salades ,300,P. foods,2,"Australia, France","Aldi, Woolsworth",4.5,394.0,1.0,7.6,0.6,3.7,1.7,1200.0,0.0,"Céleri râpé 70%, eau, huile de colza, amidon transformé de pomme de terre , moutarde 1% (eau, graines de moutarde, vinaigre d'alcool, sel), vinaigre d'alcool, , épaississantsE415, jaune d’œuf en poudre 0.1%, acidifiant : E330, conservateur :E202, antioxydant : E300, poivre ",29/10/25,"Céleri, Œufs, Moutarde Traces : Crustacés, Poisson, Gluten, Lait, Mollusques, Fruits à coque, Soja ",,94.16826003824092
  Lavosh - Original Bites – Kurrajong Kitchen,145,snacks,2,"Australia, France",,4.0,1950.0,12.0,12.9,6.3,69.6,6.1,747.0,3.9,"contains vitamin; thiamine, folic acid), (), solids (), poppy seeds,",29/10/25,"Gluten, Lait, Graines de sésame ",,466.0611854684512
 Timtam Chewy Caramel – Arnott's ,175,snacks,2,"Australia, France, New zealand",,0.5,2050.0,4.3,23.4,13.5,64.6,46.0,392.0,1.6,"Sucre, farine de blé, caramel (15,5%) (sucre, lait condensé, eau, beurre (de lai), glucose (de blé), humectant (E422), émulsifiants (E471, lécithine de soja), antioxydant (E307b), saveur, sel), huile végétale (soja) , Lait en poudre, Beurre de cacao, Mousse de cacao, Sirop doré, Couleurs alimentaires (Caramel III2, rouge de Betterave, Cochenille, Rocou), Émulsifiants (Lécithine de soja, E476), Poudre de cacao, Sel, levure chimique, Arôme ",29/10/25,"Gluten, Lait, Soja",,489.961759082218
Tim Tam Double Coat – Arnott's ,200,snacks,2,"Australia, France, New zealand",,0.5,2200.0,4.95,27.9,15.8,63.5,47.7,383.0,1.8,"Sucre, farine de blé, huile végétale (soja), lait écrémé, beurre de cacao, pâte de cacao, sirop doré, colorant alimentaire (caramel III1 (de blé), rouge de betterave, cochenille, rocou), émulsifiant (lécithine de soja, E476), cacao en poudre, sel, levure chimique, arôme. ",29/10/25,"Gluten, Lait, Soja ",Open food facts,525.8126195028681
TIM TAM ORIGINAL – Arnott's,200,snacks,2,"Australia, France, New zealand, UAE",,0.5,2190.0,0.8,26.8,15.0,65.1,46.0,72.0,1.8,"Sucre, farine de blé, huile végétale (contient du soja) matière sèche du lait, beurre de cacao, pâte de cacao, mélasse claire, colorants alimentaire (caramel III (de blé), rouge de betterave, cochenille, rocou) cacao en poudre, émulsifiants (lécithine de soja, E476) sel, levure chimique, arôme, contient 38% de chocolat au lait. ",29/10/25,"Gluten, Lait, Soja Traces : Œufs, Fruits à coque, Arachides, Graines de sésame ",,523.4225621414914
