product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
Arnotts Tim Tam Biscuit Dark Chocolate imp,200,snacks,2,"Australia, France, New zealand, UAE",,0.5,2170.0,4.4,26.5,14.6,64.5,42.6,400.0,2.0,"SUCRE, FARINE DE BLÉ, HUILE VÉGÉTALE, PÂTE DE CACAO, ÉMULSIFIANTS (E322 (DE SOJA). E476), MÉLASSE CLAIRE, CACAO EN POUDRE, MATIÈRE SÈCHE DU LAIT, COLORANT (E150C), BEURRE DE CACAO, ARÔMES. SEL. AGENT LEVANT (E500), ANTIOXYDANT (E306 DE SOJA). ",29/10/25,"Gluten, Lait, Soja Traces : Œufs, Fruits à coque, Arachides, Graines de sésame ",,518.642447418738
Arnott's Kingston Biscuits,200,snacks,2,"Australia, France, New zealand",,0.5,2090.0,4.51,24.1,16.5,63.9,43.6,1370.0,3.01,"sucre, chocolat composé (23 0%) (sucre, matière sèche du lait, huile végétale, cacao en poudre, pâte de cacao, émulsifiants (lécithine de soja, e492, e476), arôme naturel), farine de blé, huile végétale, noix de coco séchée, flocons d'avoine, mélasse claire, levure chimique, sel, lait écrémé en poudre, émulsifiant (lécithine de soja), arôme, antioxydant (e307b de soja) ",29/10/25,"Gluten, Lait, Soja ",,499.5219885277247
Chocolate Scotch Finger – Arnott's ,250,snacks,2,"Australia, France, New zealand, UAE",,0.5,2090.0,5.73,24.7,14.1,65.6,27.3,1000.0,2.2,"WHEAT FLOUR, SUGAR, BUTTER (CREAM (FROM MILK), SALT), VEGETABLE OIL (CONTAINS SOY), MILK SOLIDS, COCOA BUTTER, COCOA MASS, CONDENSED MILK, SALT, EGGS, BAKING POWDER, EMULSIFIERS (SOY LECITHIN, E476), FLAVOUR, CONTAINS MILK CHOCOLATE 21%. ",29/10/25,"Œufs, Gluten, Lait, Soja Traces : Fruits à coque, Arachides, Graines de sésame ",,499.5219885277247
Tim Tam – Arnott's,250,snacks,2,"Australia, France",,0.5,2029.0,3.9,22.1,12.3,65.9,43.7,1380.0,0.0,,29/10/25,,,484.94263862332696
Tim Tam Murray River Salted Caramel – Arnott's ,175,snacks,2,"Australia, France",,0.5,2060.0,4.3,23.3,13.4,65.2,44.6,274.0,1.4,"Milk Chocolate (34%) (Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Vegetable Oil, Emulsifiers (Soy Lecithin, E476), Flavour), Wheat Flour, Sugar, Murray River Salted Caramel (14%) (Sugar, Condensed Milk Glucose Syrup, Humectant (E422), Water, Butter (From Milk), Vegetable Oil Emulsifiers (E471, Soy Lecithin), Murray River Salt (0.2%), Flavour, Antioxidant (E3076 from Soy)), Vegetable Oil, Wheat Starch, Food Colours (Caramel I, Paprika Extract), Murray River Salt (0.2%), Baking Powder, Salt, Emulsifier (Soy Lecithin), Flavour, Antioxidants (E307b From Soy) CONTAINS GLUTEN, WHEAT, MILK, SOY. MAY CONTAIN EGG, TREE NUTS, PEANUT, SESAME. ",29/10/25,"Gluten, Lait, Fruits à coque, Arachides, Graines de sésame, Soja ",,492.3518164435946
MONTE – ARNOTT'S ,200,snacks,2,Australia,,0.5,2100.0,4.8,24.8,15.2,62.4,36.8,680.0,0.0,"FARINE DE BLE, SUCRE, HUILE VEGETALE (CONTIENT DU SOJA), PATE DE CACAO, HATIERE SECHE DU LAIT, BEURRE DE CACAO, HOIX DE COCOSECHEE, SEL, DEUFS, EMULSIFIANTS (LECITHIHE DE SOIA, E476), HELASSE CLAIRE, HIEL LEVURE CHIMIQUE, AROME. COHTIEHT40% DE CHOCOLAT. PEUT CONTENIR DES TRACES DE CACAHUETE, DE SESAME ET DE FRUIT A COQUE. ",29/10/25,"Gluten, Soja Traces : Fruits à coque, Arachides, Graines de sésame ",,501.9120458891013
Lait concentré sucré – Nestlé ,395,Milk,1D,"Australia, France, New caledonia",,1.0,1439.0,7.6,8.1,6.0,55.9,55.9,230.0,1.0,"LAIT (56%), SUCRE (44%)",29/10/25,Milk,,343.92925430210323
Arnott's Original Scotch Finger Biscuits,250,snacks,2,"Australia, France, New zealand",,1.0,2040.0,5.7,21.2,12.5,66.9,18.7,491.0,2.4,"FARINE DE BLÉ, SUCRE, BEURRE (CRÈME (DE LAIT), SEL), HUILE VÉGÉTALE, LAIT CONDENSÉ, SEL, ŒUFS, LEVURE CHIMIQUE, ÉMULSIFIANT (LÉCITHINE DE SOJA), ANTIOXYDANT (E307B DE SOJA). PEUT CONTENIR DES TRACES DE CACAHUETE, DE SÉSAME ET DE FRUIT À COQUE. ",29/10/25,"Œufs, Gluten, Lait, Arachides, Graines de sésame, Soja Traces : Fruits à coque, Arachides, Graines de sésame ",,487.5717017208413
The original choc ripple – Arnott's,250,snacks,2,"Australia, France, New zealand",,1.0,1880.0,4.5,16.4,8.4,68.6,36.7,378.0,0.0,"Wheat flour, Sugar, Vegetable Oil, Cocoa Powder,Golden Syrup, Baking Powder, Food Colour (Caramel III), Salt, Emulsifier (Soy Lecithin), Natural Flavour, Antioxidant ( E307b From Soy) ",29/10/25,"Gluten, Soja Traces : Lait, Fruits à coque, Arachides, Graines de sésame ",,449.3307839388145
Delta Cream Biscuits – Arnotts,250,snacks,2,"Australia, France",Woolsworth,1.0,2042.0,4.1,21.5,11.0,67.4,34.8,279.0,0.0,"FARINE DE BLÉ, SUCRE, HUILE VÉGÉTALE, CACAO EN POUDRE, SEL, COLORANT ALIMENTAIRE (CARAMEL III), LEVURE CHIMIQUE, ÉMULSIFIANT (LÉCITHINE DE SOJA), ARÔME, ANTIOXYDANT (E307B DE SOJA). PEUT CONTENIR DES TRACES D'ŒUF, DE LAIT, DE DE FRUIT À COQUE. ",29/10/25,"Gluten, Soja Traces : Œufs, Lait, Fruits à coque ",,488.0497131931166
Organic Pure Honey – Macro,400,Honey,3,"Australia, France",,1.0,1416.0,0.3,0.0,0.0,83.1,82.5,15.0,0.0,100% pure honey,29/10/25,,,338.4321223709369
Dijonnaise Mustard Squeezy – Masterfoods,250,processed foods,2,"Australia, France",,1.0,975.0,2.9,12.9,0.9,26.4,19.3,1611.0,0.0,,29/10/25,,,233.0305927342256
Choc Eclairs,200,processed foods,2,France,,1.0,1730.0,2.4,10.5,7.4,76.7,50.1,160.0,0.0,,29/10/25,,,413.4799235181644
Short bread bites – Arnott's,150,processed foods,2,France,,1.0,2180.0,5.5,29.0,18.0,57.7,15.6,200.0,3.6,,29/10/25,,,521.0325047801147
Brioche chocolate chips rolls,280,Bakery,2,Australia,Aldi,2.0,1500.0,8.2,10.7,5.9,55.9,18.2,345.0,0.0,,29/10/25,"eggs, gluten,wheat, milk",,358.50860420650093
Pains au chocolats,270,Bakery,2,Australia,Aldi,1.5,1740.0,7.6,21.2,9.4,47.7,12.5,422.0,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites",,415.8699808795411
Brioche hot dog ,270,Bakery,2,Australia,Aldi,2.0,1410.0,9.5,9.5,9.5,2.2,51.9,11.9,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,336.9980879541109
Sliced Brioche Burger Buns 4 Pack ,200,Bakery,2,Australia,Aldi,3.0,1320.0,10.1,6.8,2.0,51.6,11.0,519.0,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,315.4875717017208
Sliced Brioche Burger Buns with Sesame Seeds 4 Pack,200,Bakery,2,Australia,Aldi,3.0,1340.0,10.0,7.8,2.0,50.8,11.1,490.0,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,320.26768642447416
Belgian Waffles 4 Pack,360,Bakery,2,Australia,Aldi,0.5,1870.0,5.9,23.0,12.0,54.0,29.0,435.0,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,446.9407265774378
Plum Pudding ,700,processed ,2,Australia,Aldi,2.0,1340.0,3.2,8.0,2.4,58.5,46.6,150.0,0.0,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,320.26768642447416
White Sandwich Sliced Bread ,650,Bakery,2,Australia,Aldi,3.5,1050.0,8.3,2.1,0.5,47.5,3.4,418.0,2.4,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,250.95602294455065
White Toast Sliced Bread,650,Bakery,2,Australia,Aldi,3.5,1050.0,8.3,2.1,0.5,47.5,3.4,418.0,2.4,,29/10/25,"eggs, gluten,wheat, milk, sulphites, sesame",,250.95602294455065
Crumbed Calamari Rings,400,Frozen foods,2,Australia,Aldi,2.5,1020.0,8.0,14.2,2.3,20.9,1.4,560.0,0.0,,29/10/25,"Gluten, wheat, mollusc, soy, crustacean, fish",,243.78585086042065
Salt & Pepper Squid,360,Frozen foods,2,Australia,Aldi,3.0,814.0,8.7,8.5,1.3,20.7,0.6,590.0,0.0,,29/10/25,"Gluten, wheat, mollusc, soy, crustacean, fish",,194.5506692160612
Basa Fillets,1000,Frozen foods,2,Australia,Aldi,4.0,261.0,13.6,0.8,0.4,0.1,0.1,438.0,0.0,,29/10/25,,,62.380497131931165
Barramundi Fillets ,1000,Frozen foods,2,Australia,Aldi,4.5,432.0,19.2,2.9,0.8,0.1,0.1,44.0,0.0,,29/10/25,,,103.25047801147228
Atlantic Salmon Portions,1000,Frozen foods,2,Australia,Aldi,4.5,876.0,20.3,14.4,2.0,0.5,0.1,41.0,0.0,,29/10/25,,,209.36902485659647
Stir Fry Vegetables,850,Frozen foods,2,Australia,Aldi,5.0,148.0,2.0,0.3,0.1,4.6,3.8,23.0,3.5,,29/10/25,,,35.37284894837476
Cooked Peeled Prawn Cutlets,500,Frozen foods,2,Australia,Aldi,4.0,285.0,15.6,0.5,0.2,0.1,0.1,329.0,0.0,,29/10/25,,,68.11663479923519
"Peas, Carrots & Super Sweet Corn",1000,Frozen foods,2,Australia,Aldi,5.0,277.0,2.9,1.1,0.2,8.8,5.8,34.0,4.5,,29/10/25,,,66.20458891013384
Beef Lasagne ,400,Frozen foods,2,Australia,Aldi,3.5,576.0,5.3,5.7,3.1,14.9,2.4,330.0,2.8,,29/10/25,,,137.66730401529637
Marinara Mix,800,Frozen foods,2,Australia,Aldi,4.0,252.0,10.6,0.7,0.3,2.7,0.2,274.0,0.0,,29/10/25,,,60.22944550669216
Prawn Goza,750,Frozen foods,2,Australia,Aldi,3.0,796.0,6.7,7.2,2.1,22.3,2.7,311.0,0.0,,29/10/25,,,190.2485659655832
Corn Kernels,1000,Frozen foods,2,Australia,Aldi,5.0,291.0,2.7,2.0,0.4,8.3,5.0,204.0,3.7,,29/10/25,,,69.55066921606118
Party Pies 24 Pack,1120,Frozen foods,2,Australia,Aldi,2.0,1110.0,6.3,15.9,8.0,23.4,0.6,443.0,0.0,,29/10/25,,,265.2963671128107
Party Sausage Rolls 24 Pack,900,Frozen foods,2,Australia,Aldi,1.5,1150.0,6.5,16.0,8.3,26.1,2.3,567.0,0.0,,29/10/25,,,274.8565965583174
Puff Pastry,1000,Frozen foods,2,Australia,Aldi,2.0,1280.0,5.4,12.8,7.9,41.5,0.7,362.0,0.0,,29/10/25,,,305.92734225621416
Winter Vegetables,1000,Frozen foods,2,Australia,Aldi,5.0,145.0,1.7,0.5,0.1,4.3,3.5,12.0,3.1,,29/10/25,,,34.655831739961755
Green Beans,1000,Frozen foods,2,Australia,Aldi,5.0,133.0,2.1,0.2,0.1,4.0,1.6,9.0,3.6,,29/10/25,,,31.78776290630975
Beer Batter Steak Cut Chips ,750,Frozen foods,2,Australia,Aldi,4.0,603.0,2.5,5.0,1.0,21.5,1.0,124.0,0.0,,29/10/25,,,144.1204588910134
Super Crunch Chips ,1000,Frozen foods,2,Australia,Aldi,4.0,533.0,2.5,4.1,0.3,19.3,1.0,182.0,0.0,,29/10/25,,,127.39005736137666
Fish Fingers 40 Pack,1000,Frozen foods,2,Australia,Aldi,3.5,834.0,9.6,8.5,0.8,20.6,2.1,316.0,0.0,,29/10/25,,,199.33078393881453
Blue Ribbon Classic Vanilla,2000,Frozen foods,2,Australia,Aldi,2.5,783.0,2.1,7.0,5.8,28.8,18.5,45.0,0.0,,29/10/25,,,187.14149139579348
Supreme Family Pizza,500,Frozen foods,2,Australia,Aldi,3.5,903.0,10.9,6.4,3.7,26.7,4.8,270.0,0.0,,29/10/25,,,215.8221797323136
Hawaiian Family Pizza,500,Frozen foods,2,Australia,Aldi,3.5,975.0,9.7,6.5,3.8,31.0,6.5,363.0,0.0,,29/10/25,,,233.0305927342256
Meat Lovers Family Pizza,500,Frozen foods,2,Australia,Aldi,3.5,949.0,10.3,7.0,3.4,29.0,6.2,315.0,0.0,,29/10/25,,,226.81644359464627
Baby Peas,1000,Frozen foods,2,Australia,Aldi,5.0,336.0,5.5,0.9,0.2,9.5,5.2,9.0,6.0,,29/10/25,,,80.30592734225621
Angus Beef Potato Pies 2 Pack,440,Frozen foods,2,Australia,Aldi,2.5,950.0,6.7,14.0,7.0,18.3,1.8,300.0,0.0,,29/10/25,,,227.055449330784
Salmon Wellington 2 Pack ,280,Frozen foods,2,Australia,Aldi,3.0,1110.0,8.9,16.9,6.4,19.1,0.2,200.0,0.0,,29/10/25,,,265.2963671128107
Spanish Stuffed Green Olives ,450,canned foods,2,Australia,Aldi,2.5,594.0,0.9,15.0,3.0,1.0,1.0,1270.0,0.0,,29/10/25,,,141.96940726577438
Firm Tofu,450,processed,2,Australia,Aldi,5.0,491.0,14.8,3.9,0.6,5.6,0.4,5.0,6.2,,29/10/25,,,117.35181644359464
Cocktail Onions ,450,canned foods,2,Australia,Aldi,4.0,102.0,0.3,0.6,0.1,4.0,2.1,564.0,0.0,,29/10/25,,,24.378585086042065
Grilled Peppers,280,canned foods,2,Australia,Aldi,2.5,184.0,0.7,2.3,0.3,5.1,2.0,859.0,0.0,,29/10/25,,,43.977055449330784
Grilled Artichokes,280,canned foods,2,Australia,Aldi,3.0,365.0,1.2,7.2,0.9,4.6,0.1,535.0,0.0,,29/10/25,,,87.23709369024856
Whole Kalamata Olives,350,canned foods,2,Australia,Aldi,2.5,917.0,1.6,22.4,2.5,1.6,0.4,1600.0,0.0,,29/10/25,,,219.1682600382409
Sundried Tomato Halves,280,canned foods,2,Australia,Aldi,2.5,903.0,12.7,7.3,1.1,50.2,33.8,800.0,0.0,,29/10/25,,,215.8221797323136
European Style Pickled Cucumbers,680,canned foods,2,Australia,Aldi,3.5,106.0,1.2,0.1,0.1,4.0,3.1,730.0,0.0,,29/10/25,,,25.334608030592733
Baby Cucumbers,350,canned foods,2,Australia,Aldi,4.0,228.0,1.3,0.3,0.1,11.2,9.2,490.0,0.0,,29/10/25,,,54.493307839388144
Vegetarian Sausages,300,canned foods,2,Australia,Aldi,4.0,892.0,19.9,10.8,0.9,8.2,1.7,465.0,1.8,,29/10/25,,,213.1931166347992
Classic Falafel Balls,225,processed foods,2,Australia,Aldi,4.0,1160.0,6.9,17.0,1.3,21.5,0.6,573.0,7.5,,29/10/25,,,277.24665391969404
Chicken Flavour Liquid Stock ,1000,stocks and gravy,2,Australia,Aldi,3.0,14.0,0.1,0.1,0.1,0.7,0.2,352.0,0.0,,29/10/25,,,3.3460803059273423
Beef Liquid Stock,1000,stocks and gravy,2,Australia,Aldi,3.0,30.0,1.0,0.1,0.1,0.7,0.6,405.0,0.0,,29/10/25,,,7.1701720841300185
Instant Gravy Mix Chicken Flavoured,120,stocks and gravy,2,Australia,Aldi,3.0,168.0,0.2,0.2,0.2,9.0,1.0,590.0,0.0,,29/10/25,,,40.152963671128106
Instant Gravy Mix Traditional Flavoured,120,stocks and gravy,2,Australia,Aldi,3.0,171.0,0.2,0.5,0.4,8.7,1.0,645.0,0.0,,29/10/25,,,40.86998087954111
Jasmine Rice,1000,"Pasta, rice and grains",2,Australia,Aldi,3.5,319.0,2.1,0.3,0.1,16.0,0.1,5.0,0.0,,29/10/25,,,76.24282982791587
Basmati Rice,1000,"Pasta, rice and grains",2,Australia,Aldi,3.5,402.0,3.1,0.3,0.1,19.9,0.1,5.0,0.0,,29/10/25,,,96.08030592734224
Bowties Pasta,500,"Pasta, rice and grains",2,Australia,Aldi,4.0,646.0,4.8,1.0,0.2,31.0,1.4,10.0,1.8,,29/10/25,,,154.39770554493307
Brown Rice,1000,"Pasta, rice and grains",2,Australia,Aldi,4.0,555.0,3.2,1.3,0.4,26.1,0.2,5.0,1.2,,29/10/25,,,132.64818355640534
Pasta Spaghetti,500,"Pasta, rice and grains",2,Australia,Aldi,4.0,646.0,4.8,1.0,0.2,31.0,1.4,10.0,1.8,,29/10/25,,,154.39770554493307
Pasta Macaroni,500,"Pasta, rice and grains",2,Australia,Aldi,4.0,646.0,4.8,1.0,0.2,31.0,1.4,10.0,1.8,,29/10/25,,,154.39770554493307
Microwave Rice Pouch Egg Fried Rice,250,"Pasta, rice and grains",2,Australia,Aldi,4.0,665.0,3.5,3.9,0.9,26.4,0.6,387.0,1.8,,29/10/25,,,158.93881453154876
Cous Cous,500,"Pasta, rice and grains",2,Australia,Aldi,4.0,672.0,5.3,0.7,0.2,30.6,1.0,21.0,2.2,,29/10/25,,,160.61185468451242
Microwave Rice Pouch Mexican ,250,"Pasta, rice and grains",2,Australia,Aldi,3.5,696.0,3.7,2.8,0.7,29.1,1.7,195.0,0.0,,29/10/25,,,166.34799235181643
Lasagne Pasta Sheets,250,"Pasta, rice and grains",2,Australia,Aldi,4.0,1510.0,12.4,1.8,0.5,71.2,2.2,5.0,3.3,,29/10/25,,,360.8986615678776
Vietnamese Rice Paper 10 Pack ,280,"Pasta, rice and grains",2,Australia,Aldi,3.0,711.0,0.1,0.2,0.1,41.8,0.5,160.0,0.0,,29/10/25,,,169.93307839388146
Sushi Rice,1000,"Pasta, rice and grains",2,Australia,Aldi,3.5,559.0,2.4,0.4,0.2,29.6,0.1,5.0,0.0,,29/10/25,,,133.60420650095602
Fresh Hokkien Noodles,450,"Pasta, rice and grains",2,Australia,Aldi,4.0,768.0,5.5,2.4,0.3,33.7,1.2,84.0,1.6,,29/10/25,,,183.55640535372848
Singapore Noodles ,450,"Pasta, rice and grains",2,Australia,Aldi,4.0,690.0,7.3,2.9,0.3,26.2,0.6,38.0,1.7,,29/10/25,,,164.91395793499044
Arborio Rice,1000,"Pasta, rice and grains",2,Australia,Aldi,3.5,650.0,3.2,0.1,0.1,34.8,0.1,5.0,0.0,,29/10/25,,,155.35372848948373
Gluten Free Spirals,500,"Pasta, rice and grains",2,Australia,Aldi,3.5,1010.0,4.3,0.9,0.4,52.1,1.0,13.0,1.5,,29/10/25,,,241.395793499044
Microwave Rice Brown Rice & Chia,250,"Pasta, rice and grains",2,Australia,Aldi,4.0,751.0,5.1,1.5,0.3,34.5,0.1,5.0,3.0,,29/10/25,,,179.49330783938814
Potato Gnocchi,500,"Pasta, rice and grains",2,Australia,Aldi,4.0,660.0,3.1,0.3,0.2,33.9,0.2,350.0,2.7,,29/10/25,,,157.7437858508604
Free Range Egg Pasta Tagliatelle,375,"Pasta, rice and grains",2,Australia,Aldi,4.0,551.0,6.1,0.8,0.2,23.8,0.1,5.0,1.6,,29/10/25,,,131.6921606118547
banana bread – Woolworths,500,bread,2,Australia,Woolsworth,2.5,1440.0,5.9,13.8,1.7,48.0,29.2,625.0,1.0,,29/10/25,,,344.16826003824093
Poulet Tikka Masala,350,foods processed,2,Australia,Woolsworth,2.5,536.0,5.0,4.9,2.5,16.0,2.7,700.0,0.7,,29/10/25,,,128.10707456978966
Butter flavour microwave popcorn ,100,foods processed,2,Australia,Woolsworth,2.5,1958.0,10.4,20.8,10.8,56.0,4.0,1450.0,9.2,,29/10/25,,,467.97323135755255
Baked Beans in Tomato Sauce,420,foods processed,2,Australia,Aldi,4.5,365.0,4.3,0.5,0.1,14.1,5.5,320.0,4.1,,29/10/25,,,87.23709369024856
Whole Baby Beetroot,330,foods processed,2,Australia,Aldi,4.0,299.0,1.0,0.5,0.1,15.0,14.0,264.0,0.0,,29/10/25,,,71.46271510516252
Thin Cut Chips Original,230,foods processed,2,Australia,Aldi,2.5,2290.0,6.7,34.9,2.4,50.7,1.0,498.0,2.9,,29/10/25,,,547.3231357552581
Yellowfin Tuna Chunks in Oil,425,foods processed,2,Australia,Aldi,3.5,699.0,23.3,8.2,0.9,1.0,1.0,344.0,0.0,,29/10/25,,,167.06500956022944
Spaghetti in Tomato Sauce ,420,foods processed,2,Australia,Aldi,3.0,326.0,1.9,0.3,0.1,16.6,5.9,423.0,0.0,,29/10/25,,,77.91586998087953
Pepita Seeds ,125,Packaged foods,2,Australia,Aldi,5.0,2460.0,35.4,48.1,8.8,1.4,1.4,5.0,6.8,,29/10/25,,,587.9541108986615
Old El Paso Burrito Spice Mix Burrito Spice Mix,40,Packaged foods,2,Australia,Woolsworth,1.0,1090.0,9.2,4.3,0.6,40.8,7.2,5070.0,10.1,,29/10/25,,,260.51625239005733
Old El Paso Nachos Spice Mix,35,Packaged foods,2,Australia,Woolsworth,1.0,1360.0,10.0,7.0,0.8,47.1,17.5,4360.0,16.2,,29/10/25,,,325.0478011472275
Magnum Almond Ice Cream Sticks ,428,dairy,2D,Australia,Woolsworth,1.0,1410.0,5.0,22.8,13.7,27.5,25.0,50.0,0.0,,29/10/25,,,336.9980879541109
Herbert Adams Sausage Rolls King Island Beef Frozen 12 pack,420,processed foods,2,Australia,Woolsworth,1.0,1260.0,9.2,15.9,8.5,29.9,1.5,730.0,0.0,,29/10/25,,,301.1472275334608
McCain Pickers Jalapeno Cheese Nuggets,230,processed foods,2,Australia,Woolsworth,1.0,1390.0,13.8,19.9,9.0,23.7,3.6,928.0,0.0,,29/10/25,,,332.2179732313575
Pampas Puff Pastry 10 Sheets,1600,processed foods,2,Australia,Woolsworth,1.5,1360.0,5.1,16.3,10.1,39.3,1.0,360.0,0.0,,29/10/25,,,325.0478011472275
Woolworths Ice Cream Cones Boysenberry 4 pack,475,Ice,2D,Australia,Woolsworth,1.5,1130.0,3.3,11.9,7.8,37.1,27.7,54.0,0.0,,29/10/25,,,270.07648183556404
Four'N Twenty Traveller King Size Sausage Roll ,180,processed foods,2,Australia,Woolsworth,1.5,1220.0,7.2,16.0,8.6,28.3,1.0,625.0,0.0,,29/10/25,,,291.5869980879541
Herbert Adams Cream Cheese & Spinach Savoury Rolls 2 pack,380,processed foods,2,Australia,Woolsworth,1.5,1330.0,4.9,16.1,8.9,26.4,1.3,622.0,0.0,,29/10/25,,,317.8776290630975
Four'N Twenty Snack Pack 24 pack,1100,processed foods,2,Australia,Woolsworth,1.5,1010.0,6.8,12.3,6.1,3.6,1.5,458.0,0.0,,29/10/25,,,241.395793499044
Pampas Shortcrust Pastry 5 Sheets,1000,processed foods,2,Australia,Woolsworth,1.5,1660.0,5.0,22.5,11.9,43.3,1.1,425.0,0.0,,29/10/25,,,396.7495219885277
Nanna's Salted Caramel Snack Pies 4 pack,450,processed foods,2,Australia,Woolsworth,1.5,1260.0,4.0,17.8,8.4,46.2,20.5,357.0,0.0,,29/10/25,,,301.1472275334608
Woolworths Lamington Fingers 18 pack,350,processed foods,2,Australia,Woolsworth,1.5,1350.0,4.8,7.8,6.2,56.1,34.3,245.0,3.8,,29/10/25,,,322.65774378585087
Woolworths Cup Cake Mini Iced 9 pack,180,processed foods,2,Australia,Woolsworth,1.5,1690.0,4.1,17.8,5.2,56.3,32.3,258.0,0.0,,29/10/25,,,403.9196940726577
La Famiglia Garlic Bread ,400,processed foods,2,Australia,Woolsworth,1.5,1570.0,8.5,16.7,9.7,47.5,2.3,690.0,0.0,,29/10/25,,,375.2390057361376
"La Famiglia Garlic Bread Just For 2 
",170,processed foods,2,Australia,Woolsworth,1.5,1590.0,7.7,17.4,10.9,46.3,3.1,620.0,0.0,,29/10/25,,,380.019120458891
Woolworths Madeira Cake,450,bakery,2,Australia,Woolsworth,1.5,1620.0,5.1,15.9,3.5,55.0,31.3,360.0,1.3,,29/10/25,,,387.189292543021
Woolworths Mudcake White,600,bakery,2,Australia,Woolsworth,1.5,1460.0,4.0,13.7,4.7,51.6,30.7,206.0,1.1,,29/10/25,,,348.9483747609942
Woolworths Lemon Madeira Cake ,315,bakery,2,Australia,Woolsworth,1.5,1540.0,4.2,9.9,2.4,64.6,44.7,315.0,1.1,,29/10/25,,,368.0688336520077
Woolworths Pesto Basil,190,sauce,2,Australia,Woolsworth,2.0,2000.0,4.5,49.2,6.4,5.3,2.2,527.0,1.7,,29/10/25,,,478.0114722753346
Woolworths Banana Bread Slices 5 pack,500,bakery,2,Australia,Woolsworth,2.0,1430.0,5.9,13.8,1.7,48.0,29.0,250.0,1.0,,29/10/25,,,341.7782026768642
Pizza BBQ Meatlovers ,500,pizza,2,Australia,Woolsworth,2.0,962.0,9.0,6.0,2.6,34.5,5.8,749.0,0.0,,29/10/25,,,229.923518164436
Woolworths Chocolate Mudcake ,600,bakery,2,Australia,Woolsworth,2.0,1620.0,3.9,17.2,4.8,52.7,34.2,248.0,2.2,,29/10/25,,,387.189292543021
Woolworths Garlic Loaf ,400,bakery,2,Australia,Woolsworth,2.0,1510.0,6.3,24.1,5.7,39.9,1.1,525.0,2.0,,29/10/25,,,360.8986615678776
Woolworths BBQ Australian Lamb Koftas Honey & Mint 450g,450,meat,2,Australia,Woolsworth,2.0,1150.0,16.3,20.9,9.8,6.1,3.0,353.0,0.0,,29/10/25,,,274.8565965583174
Cottee's Thick 'n' Rich Chocolate Sauce Ice Cream Topping,615,cream,2,Australia,Woolsworth,2.0,910.0,0.5,0.2,0.1,51.6,48.5,70.0,0.4,,29/10/25,,,217.49521988527724
Divine Classic Creme Caramel 150g,150,cream,2,Australia,Woolsworth,2.0,527.0,4.1,3.9,2.5,18.4,17.7,53.0,0.0,,29/10/25,,,125.95602294455068
La Famiglia Garlic Bread Sourdough,480,bakery,2,Australia,Woolsworth,2.0,1290.0,6.9,13.3,8.4,40.2,2.2,435.0,0.0,,29/10/25,,,308.3173996175908
Bulla Creamy Classics Ice Cream Tub Cookies & Cream,2000,ice cream,2,Australia,Woolsworth,2.0,919.0,3.4,10.7,7.1,27.1,20.5,77.0,0.0,,29/10/25,,,219.64627151051624
Essentials Chocolate Topping ,600,topping,2,Australia,Woolsworth,2.0,923.0,1.0,1.0,1.0,52.6,48.8,72.0,0.0,,29/10/25,,,220.60229445506693
Woolworths Snack Apple Pies 4 pack,450,bakery,2,Australia,Woolsworth,2.0,1190.0,3.6,12.9,8.3,37.8,14.7,246.0,1.7,,29/10/25,,,284.4168260038241
Maggi 2 Minute Chicken Flavour Instant Noodles 5 pack,360,processed foods,2,Australia,Woolsworth,3.5,330.0,1.9,3.0,1.4,10.7,1.0,245.0,0.0,,29/10/25,,,78.8718929254302
Essentials Chunky Pasta Sauce,700,sauce,2,Australia,Woolsworth,3.5,247.0,1.6,1.3,1.0,9.3,6.2,234.0,0.0,,29/10/25,,,59.03441682600382
Woolworths Angus Beef & Caramelised Onion Sausages ,450,meat,2,Australia,Woolsworth,2.5,1130.0,18.3,17.3,7.2,7.4,3.3,438.0,7.1,,29/10/25,,,270.07648183556404
Old El Paso Burrito Dinner Kit Mexican Style,485,sandwich,2,Australia,Woolsworth,2.5,1010.0,6.0,4.9,0.6,42.0,2.4,849.0,1.6,,29/10/25,,,241.395793499044
Foster Clark's Custard Powder ,350,food,2,Australia,Woolsworth,2.5,1470.0,0.3,0.2,0.0,86.0,4.4,605.0,0.0,,29/10/25,,,351.33843212237093
Leggo's Fresh Carbonara Sauce,450,sauce,2,Australia,Woolsworth,2.5,431.0,4.2,7.1,4.1,5.6,2.8,426.0,0.0,,29/10/25,,,103.0114722753346
Nanna's Apple Crumble,550,bakery,2,Australia,Woolsworth,2.5,873.0,2.3,7.6,3.9,30.3,19.3,107.0,0.0,,29/10/25,,,208.6520076481836
